fold,n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda
1,451,0.011108211433025282,94,27,0.9449923596722283,0.8365388693738112,0.5392283574891154,0.00029600493508810514
2,203,0.010710178400981759,82,55,0.9417917685506738,0.8263961878287496,0.004212551399362908,0.00465649284202657
3,270,0.009651531952191494,39,70,0.7537233897897413,0.7113349365124932,0.37421818524540684,0.006153041819743308
4,394,0.011497527694812998,94,32,0.7431112214919919,0.878842343510765,0.033382174519872854,0.20140664296435645
5,190,0.01109620967456063,74,54,0.8694437803746166,0.7399254596664739,0.007054382978969147,0.0018475413873275332
6,319,0.008699037355645861,124,82,0.9757995766256756,0.9579309401710595,0.024637685958997457,0.48696409415208936
