fold,model,f1,auc,accuracy,pos_rate_pred,pos_rate_true,n_val,threshold
1,EBM,0.5082508250825083,0.5361073369565219,0.4087301587301587,0.8373015873015873,0.36507936507936506,252,0.1
2,EBM,0.48128342245989303,0.6401447358182243,0.6150793650793651,0.4603174603174603,0.28174603174603174,252,0.30999999999999994
3,EBM,0.450261780104712,0.5613948573441353,0.5833333333333334,0.42063492063492064,0.3373015873015873,252,0.1
4,EBM,0.5606694560669456,0.5942305248443258,0.5816733067729084,0.46613545816733065,0.4860557768924303,251,0.1
5,EBM,0.5634674922600619,0.46242025518341306,0.43824701195219123,0.8924302788844621,0.3944223107569721,251,0.13
6,EBM,0.47619047619047616,0.4981855223785573,0.47619047619047616,0.5515873015873016,0.44841269841269843,252,0.13
