fold,model,f1,auc,accuracy,pos_rate_pred,pos_rate_true,n_val,threshold,status
1,DT,0.5139318885448917,0.5616847826086956,0.376984126984127,0.9166666666666666,0.36507936507936506,252,0.3,ok
2,DT,0.4049586776859504,0.5719399268539413,0.42857142857142855,0.6785714285714286,0.28174603174603174,252,0.3,ok
3,DT,0.5238095238095238,0.635787249031349,0.5238095238095238,0.6626984126984127,0.3373015873015873,252,0.3,ok
4,DT,0.4864864864864865,0.5379654339814463,0.545816733067729,0.398406374501992,0.4860557768924303,251,0.3,ok
5,DT,0.5838509316770186,0.5509370015948963,0.46613545816733065,0.8884462151394422,0.3944223107569721,251,0.3,ok
6,DT,0.5440613026819924,0.5732157636722481,0.5277777777777778,0.5873015873015873,0.44841269841269843,252,0.3,ok
