fold,model,f1,auc,accuracy,pos_rate_pred,pos_rate_true,n_val,threshold
1,LGBM,0.5126353790613718,0.5765625,0.4642857142857143,0.7341269841269841,0.36507936507936506,252,0.3
2,LGBM,0.4459016393442623,0.679168936269551,0.32936507936507936,0.9285714285714286,0.28174603174603174,252,0.3
3,LGBM,0.53125,0.6057766819302571,0.5238095238095238,0.6785714285714286,0.3373015873015873,252,0.3
4,LGBM,0.45933014354066987,0.6128478841021731,0.549800796812749,0.3466135458167331,0.4860557768924303,251,0.3
5,LGBM,0.5823529411764706,0.5774189261031366,0.4342629482071713,0.9601593625498008,0.3944223107569721,251,0.3
6,LGBM,0.5358490566037736,0.5433564652702617,0.5119047619047619,0.6031746031746031,0.44841269841269843,252,0.3
