fold,model,f1,auc,accuracy,pos_rate_pred,pos_rate_true,n_val,threshold,status
1,RuleFit,0.5158371040723982,0.6021059782608696,0.5753968253968254,0.5119047619047619,0.36507936507936506,252,0.3,ok
2,RuleFit,0.4551282051282051,0.629056104583301,0.3253968253968254,0.9563492063492064,0.28174603174603174,252,0.3,ok
3,RuleFit,0.5439330543933054,0.6255019373018668,0.5674603174603174,0.6111111111111112,0.3373015873015873,252,0.3,ok
4,RuleFit,0.2077922077922078,0.5165205235735164,0.5139442231075697,0.12749003984063745,0.4860557768924303,251,0.3,ok
5,RuleFit,0.573134328358209,0.6611509835194045,0.4302788844621514,0.9402390438247012,0.3944223107569721,251,0.3,ok
6,RuleFit,0.5639097744360902,0.5537658368880117,0.5396825396825397,0.6071428571428571,0.44841269841269843,252,0.3,ok
