Estado,Freq,Ret_anual,Vol_anual,Sharpe_aprox,Skewness,N_dias
S0 (bear),33.8%,-0.11785249214753261,0.2467795680009225,-0.4162693755839436,-0.17469206302965937,1272
S1 (bull),66.2%,0.1404924074437115,0.10309647621604874,1.4030137905299922,-0.22670715717796136,2493
